,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48355,Texas,Nueces,78.1,77.8,78.4,72.8,79.0,76.9,4599,399,387,410,626,373,437,170,47,40,54,144,41,51,167,5,4,6,,4,6,13,13,14,11,11,12,12,10,14,588,199,39170,11,35706,10,207,19,335,13,12,15,33,32,33,49479,23,21,25,7408,8,6,10,82,1224:1,8,51910,49290,54530,41216,47752,64757,62,40,23,6,5,7,220,12,11,14,74465,58,57,59,17430,14,13,15,361221,24.8,14.1,12591,3.5,3039,0.8,7885,2.2,497,0.1,230747,63.9,106116,29.4,10106,3,3,3,50.6,21935,6.4
48357,Texas,Ochiltree,77.0,75.4,78.6,,88.3,73.7,110,369,299,439,,,,,,,,,,,,,,,,,,12,11,12,11,11,11,10,7,13,,,1050,10,232,2,,,27,37,24,53,32,31,33,1842,31,28,35,629,18,14,23,20,5037:1,,58962,51640,66284,,48321,52689,62,,8,,,,,,,,2562,72,68,77,294,9,5,13,10073,32.0,10.9,49,0.5,173,1.7,64,0.6,8,0.1,5489,54.5,4309,42.8,1071,11,8,14,49.2,1422,13.9
48359,Texas,Oldham,80.8,77.0,84.5,,,,20,279,168,436,,,,,,,,,,,,,,,,,,11,11,11,11,11,12,10,7,14,,,330,16,709,35,,,,,,,31,30,32,204,17,14,19,29,9,6,11,47,2114:1,,55451,49009,61893,,,,49,,,,,,,,,,429,74,63,84,36,7,0,18,2114,25.4,14.8,70,3.3,19,0.9,31,1.5,1,0.0,329,15.6,1645,77.8,19,1,0,4,48.0,2052,100.0
48361,Texas,Orange,74.0,73.3,74.6,72.0,93.4,73.5,1566,536,508,563,646,153,552,66,79,61,100,,,,71,9,7,12,,,,11,11,11,11,11,12,12,9,15,120,173,16610,20,7126,9,46,18,151,26,22,30,33,32,34,8661,17,15,19,1360,6,5,8,29,3402:1,8,57257,52472,62042,31933,51918,56726,47,74,58,8,6,10,68,16,13,21,24309,75,73,77,3145,10,9,12,85047,25.0,15.6,7288,8.6,630,0.7,917,1.1,84,0.1,6553,7.7,68635,80.7,471,1,0,1,50.5,28783,35.2
48363,Texas,Palo Pinto,75.3,74.2,76.3,,76.6,74.7,532,487,444,531,,405,511,21,78,48,119,,,,,,,,,,,12,12,13,12,12,12,11,8,16,31,134,4940,18,3781,13,16,19,52,26,20,35,32,30,33,4108,26,23,29,820,12,9,15,53,1905:1,,45869,41522,50216,23333,34552,48738,66,57,36,5,2,9,15,11,6,18,7331,70,68,72,1585,16,13,19,28570,23.7,19.2,665,2.3,304,1.1,234,0.8,28,0.1,5677,19.9,21479,75.2,1107,4,3,5,50.8,14116,50.2
48365,Texas,Panola,74.9,73.7,76.1,70.0,83.4,75.8,391,463,414,511,691,,430,23,102,65,153,,,,21,10,6,16,,,,11,11,11,11,11,12,12,9,16,25,127,4870,21,1634,7,,,67,40,31,51,31,30,32,2747,20,18,23,591,10,8,13,17,5811:1,19,48971,45729,52213,29938,36922,54402,51,28,26,,,,22,19,12,28,6995,77,74,81,748,9,6,12,23243,23.6,18.4,3624,15.6,160,0.7,181,0.8,13,0.1,2034,8.8,17004,73.2,314,1,1,2,50.7,17304,72.7
48367,Texas,Parker,78.1,77.6,78.6,,86.9,77.7,1671,354,336,371,,234,366,77,61,48,77,,67,59,56,6,4,7,,,,9,9,10,10,10,10,9,7,12,88,84,18300,15,6145,5,51,13,158,18,15,21,29,28,30,14037,18,16,20,3287,10,8,12,32,3104:1,9,74076,68033,80119,55515,56936,72549,35,51,22,3,2,4,85,13,11,17,34062,78,76,79,4383,10,9,12,133463,24.7,15.3,1814,1.4,1249,0.9,893,0.7,82,0.1,16268,12.2,111639,83.6,1810,2,1,2,50.2,65578,56.1
48369,Texas,Parmer,79.2,77.3,81.0,,84.6,76.6,92,322,258,396,,269,409,,,,,,,,,,,,,,,13,12,13,12,11,12,10,7,14,6,78,820,8,2047,20,,,10,14,7,26,32,31,33,1734,30,27,34,418,14,11,18,61,1640:1,16,48189,42307,54071,51150,44625,55313,71,11,31,,,,,,,,2221,69,65,73,230,8,4,11,9842,29.0,13.7,108,1.1,159,1.6,72,0.7,33,0.3,6245,63.5,3363,34.2,1179,13,10,16,48.2,6163,60.0
48371,Texas,Pecos,78.2,76.8,79.6,,79.6,75.8,172,344,292,395,,317,419,10,64,31,117,,,,,,,,,,,11,11,11,10,10,10,10,7,13,14,107,1110,7,921,6,,,27,24,16,36,33,32,34,2076,26,23,29,539,13,9,17,83,1203:1,,44352,38801,49903,,43697,58929,64,53,25,,,,,,,,3075,70,67,73,236,6,2,9,15634,24.2,13.3,567,3.6,207,1.3,160,1.0,14,0.1,10762,68.8,3995,25.6,1394,9,7,12,43.2,6168,39.8
48373,Texas,Polk,73.3,72.6,74.1,74.7,83.3,72.1,1023,520,486,555,501,328,566,20,51,31,79,,,,21,6,4,9,,,,12,11,12,12,12,12,12,9,15,169,422,9050,19,5344,12,17,12,100,31,25,37,32,31,33,6494,26,23,29,1183,12,9,15,45,2235:1,19,44596,39610,49582,33234,35787,47619,68,47,43,6,4,9,41,17,13,24,13523,77,75,79,1940,12,9,14,49162,20.5,18.7,4901,10.0,1127,2.3,381,0.8,40,0.1,7525,15.3,34854,70.9,1486,3,2,4,46.1,35258,77.6
48375,Texas,Potter,74.5,74.0,75.0,72.1,80.0,73.2,1825,506,482,529,637,348,566,95,71,58,87,71,84,51,119,8,7,10,,9,7,13,13,13,12,12,12,10,8,13,247,256,20250,17,12564,10,52,14,189,22,19,25,34,33,35,19620,29,26,32,3724,11,8,13,164,608:1,10,43778,39953,47603,25886,37968,48694,74,50,41,9,7,11,100,17,13,20,24906,57,56,59,6276,15,13,17,120458,27.5,12.1,11835,9.8,1617,1.3,7166,5.9,156,0.1,46180,38.3,53075,44.1,9950,9,8,10,48.4,10892,9.0
48377,Texas,Presidio,90.0,85.5,94.5,,,,57,241,180,317,,,,,,,,,,,,,,,,,,16,15,16,13,13,14,12,9,16,6,108,810,11,3346,43,,,,,,,32,31,33,1315,37,33,41,277,14,10,18,42,2385:1,,29761,26169,33353,,23009,47188,89,,10,,,,,,,,1543,60,52,67,116,5,0,10,7156,26.7,22.6,66,0.9,99,1.4,198,2.8,1,0.0,5982,83.6,845,11.8,1984,30,24,36,49.1,3164,40.5
48379,Texas,Rains,75.8,74.0,77.5,,,,222,444,378,511,,,,,,,,,,,,,,,,,,10,10,11,11,11,11,14,10,18,10,104,1770,16,,,,,15,19,11,32,29,28,30,1531,24,21,27,318,14,10,17,17,5881:1,,43403,37979,48827,,44375,49375,59,14,8,,,,,,,,3346,77,74,80,499,12,8,17,11762,19.5,24.4,273,2.3,129,1.1,114,1.0,5,0.0,1067,9.1,10054,85.5,79,1,0,2,50.3,10175,93.2
48381,Texas,Randall,78.8,78.3,79.3,81.4,82.8,78.1,1473,340,323,358,310,244,364,63,50,38,63,,41,46,69,6,5,8,,,,10,9,10,10,10,11,9,7,11,121,113,18260,14,4375,4,56,14,132,15,12,17,32,31,33,12158,15,13,17,2564,8,6,10,47,2134:1,6,63077,58757,67397,46895,53916,69264,40,52,27,2,1,3,75,12,9,14,34303,70,69,71,4468,9,8,10,134442,24.0,14.6,4014,3.0,1224,0.9,2332,1.7,105,0.1,29273,21.8,96216,71.6,1510,1,1,2,50.8,17355,14.4
48383,Texas,Reagan,76.3,73.5,79.0,,,,43,407,293,550,,,,,,,,,,,,,,,,,,13,12,13,11,11,12,9,6,12,,,340,10,74,2,,,,,,,33,32,34,556,26,23,29,152,14,10,17,27,3710:1,,58168,50865,65471,22917,52745,97000,61,,,,,,,,,,823,70,63,78,99,9,2,15,3710,29.5,11.2,88,2.4,44,1.2,21,0.6,0,0.0,2541,68.5,1007,27.1,491,14,8,20,46.5,448,13.3
48385,Texas,Real,77.0,73.9,80.2,,,,76,474,354,622,,,,,,,,,,,,,,,,,,12,12,13,12,12,12,13,9,17,,,570,17,1495,45,,,12,51,26,89,30,29,31,502,28,24,32,81,14,10,17,87,1143:1,,36146,31404,40888,,26458,37531,68,,,,,,,,,,862,77,68,86,113,11,4,18,3429,16.9,28.8,25,0.7,59,1.7,12,0.3,12,0.3,945,27.6,2364,68.9,97,3,0,6,50.0,3309,100.0
48387,Texas,Red River,75.2,73.4,77.0,74.1,,74.8,254,505,436,573,643,,500,,,,,,,,,,,,,,,13,12,13,12,12,12,15,12,19,17,161,2630,21,2369,18,,,33,38,26,53,30,29,31,1611,24,21,27,298,12,9,15,,,,35643,31321,39965,34028,19948,36369,65,47,36,,,,13,21,11,36,3956,76,73,79,578,12,8,16,12229,19.8,24.3,2000,16.4,205,1.7,46,0.4,1,0.0,928,7.6,8930,73.0,14,0,0,1,51.2,9739,75.7
48389,Texas,Reeves,78.0,76.2,79.9,,78.5,75.2,180,430,367,493,,404,537,,,,,,,,,,,,,,,13,12,13,11,10,11,8,6,12,93,755,1050,7,1298,9,10,22,25,25,16,37,34,32,35,1697,25,22,29,422,12,9,16,39,2547:1,30,40694,35356,46032,,48750,56818,64,26,16,,,,,,,,2674,72,68,76,280,8,4,12,15281,22.4,12.0,720,4.7,141,0.9,218,1.4,11,0.1,11502,75.3,2742,17.9,2065,15,12,18,38.9,1998,14.5
48391,Texas,Refugio,75.0,73.0,77.1,,78.0,72.3,141,521,429,614,,410,654,,,,,,,,,,,,,,,12,12,12,11,11,11,12,8,16,,,910,13,518,7,,,20,39,24,61,32,31,32,813,20,18,23,177,10,7,12,42,2408:1,,42898,37336,48460,51250,36449,58193,62,31,20,,,,,,,,1947,72,69,75,223,9,4,14,7224,23.5,21.6,412,5.7,75,1.0,64,0.9,0,0.0,3611,50.0,3029,41.9,122,2,0,3,51.1,4480,60.7
48393,Texas,Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,10,9,10,11,8,15,,,130,14,108,12,,,,,,,29,28,30,58,11,9,13,21,9,6,11,0,938:0,,67688,59672,75704,,,,24,,,,,,,,,,242,74,62,86,11,4,0,23,938,25.8,19.2,0,0.0,7,0.7,3,0.3,0,0.0,106,11.3,805,85.8,0,0,0,7,49.9,929,100.0
48395,Texas,Robertson,76.2,74.7,77.7,72.3,,76.6,289,463,406,519,651,338,445,14,86,47,144,,,,,,,,,,,11,11,11,11,11,12,12,9,16,24,175,3030,18,1773,11,,,34,29,20,41,33,33,34,2188,23,20,26,503,12,9,15,41,2458:1,,44355,39442,49268,28446,56869,57759,62,35,34,9,5,17,11,13,7,24,4691,74,72,77,643,11,7,14,17203,24.2,18.9,3343,19.4,175,1.0,125,0.7,10,0.1,3588,20.9,9896,57.5,418,3,1,4,50.6,12276,73.9
48397,Texas,Rockwall,81.4,80.8,82.1,78.7,85.6,81.0,729,244,227,262,385,157,255,28,28,18,40,,,,31,4,3,6,,,,9,9,9,10,9,10,10,7,13,81,110,11200,13,2937,4,22,8,54,9,7,11,30,29,31,8700,15,14,17,2392,9,7,11,72,1383:1,,98442,89656,107228,81741,65161,99376,26,30,23,2,1,4,52,11,9,15,24414,80,79,82,3190,11,9,12,96788,27.2,12.3,6009,6.2,810,0.8,2757,2.8,97,0.1,17156,17.7,68868,71.2,1963,2,2,3,50.6,12562,16.0
48399,Texas,Runnels,77.0,75.4,78.7,,78.9,76.5,171,425,357,492,,376,450,,,,,,,,,,,,,,,12,11,12,12,11,12,12,9,16,8,91,1440,14,1204,11,,,20,27,17,42,32,31,33,1366,24,21,27,288,11,8,15,68,1467:1,,41830,36778,46882,,40230,42476,57,,18,,,,,,,,2714,72,68,76,323,9,5,13,10266,23.3,20.7,206,2.0,162,1.6,100,1.0,5,0.0,3524,34.3,6327,61.6,88,1,0,2,49.2,4280,40.8
48401,Texas,Rusk,76.8,76.1,77.6,75.2,88.6,76.6,790,422,392,452,485,303,431,27,55,36,80,,,,22,5,3,7,,,,11,11,11,11,11,12,15,12,18,150,340,10290,19,4438,8,,,102,27,22,33,30,29,31,6953,25,22,28,1433,11,8,14,32,3108:1,14,49872,45251,54493,26999,40215,54915,67,21,20,5,3,8,44,17,12,22,13677,76,75,77,1680,10,8,12,52833,23.1,16.5,8843,16.7,554,1.0,288,0.5,48,0.1,8916,16.9,33854,64.1,1636,3,3,4,47.4,35130,65.9
48403,Texas,Sabine,74.1,72.1,76.1,,,,268,564,484,645,981,,551,,,,,,,,,,,,,,,13,12,13,13,12,13,13,9,17,9,100,2400,23,638,6,,,28,38,26,55,31,30,32,1164,22,19,25,246,12,9,16,96,1046:1,,37770,32993,42547,20192,23421,34886,68,3,5,,,,,,,,3353,88,84,92,445,12,8,17,10461,18.9,30.7,719,6.9,85,0.8,39,0.4,6,0.1,467,4.5,9012,86.1,28,0,0,1,50.8,10834,100.0
48405,Texas,San Augustine,73.1,70.7,75.6,70.5,,73.2,191,592,497,686,782,,560,,,,,,,,,,,,,,,14,14,15,14,14,14,15,11,20,10,140,2190,26,176,2,,,27,45,30,65,34,33,35,978,22,18,25,160,9,7,12,61,1651:1,,39133,34577,43689,21629,35341,37042,83,54,50,,,,,,,,2537,79,76,83,357,12,7,18,8253,19.8,25.4,1799,21.8,63,0.8,33,0.4,0,0.0,585,7.1,5703,69.1,35,0,0,2,50.7,8865,100.0
48407,Texas,San Jacinto,75.8,74.6,77.1,77.9,90.1,74.9,542,491,446,536,516,283,519,14,57,31,96,,,,,,,,,,,12,12,12,12,12,13,13,9,17,39,169,5070,19,778,3,17,20,53,28,21,36,33,32,34,4033,25,22,28,727,12,8,15,11,9423:1,,44707,39312,50102,34018,27075,49598,69,10,7,8,4,13,27,20,13,29,7812,83,80,86,978,11,7,14,28270,21.7,21.4,2641,9.3,286,1.0,153,0.5,16,0.1,3691,13.1,21137,74.8,494,2,1,3,50.0,26384,100.0
48409,Texas,San Patricio,76.1,75.4,76.8,,77.3,74.5,995,452,423,481,,406,519,34,47,32,65,,48,45,37,5,4,8,,,,12,12,12,11,11,11,10,7,13,58,107,7490,11,5350,8,26,13,86,18,15,23,32,31,33,9052,23,21,26,1728,9,7,11,43,2318:1,14,50752,46607,54897,35234,46492,64387,63,37,31,5,3,7,46,14,10,18,15546,67,65,69,2210,10,8,11,67215,27.1,14.5,991,1.5,699,1.0,764,1.1,95,0.1,38946,57.9,25711,38.3,2808,5,4,5,49.8,12734,19.7
48411,Texas,San Saba,78.5,76.1,80.9,,82.8,76.8,82,353,274,447,,,,,,,,,,,,,,,,,,13,12,13,12,12,12,11,8,15,,,890,15,790,13,,,13,31,17,54,31,30,32,871,31,27,35,184,15,11,20,34,2980:1,,43112,37432,48792,,38092,41551,62,,30,,,,,,,,1438,67,63,72,277,16,8,23,5959,20.5,22.7,190,3.2,81,1.4,31,0.5,0,0.0,1803,30.3,3837,64.4,400,7,5,10,45.9,3026,49.4
48413,Texas,Schleicher,79.8,77.1,82.6,,,,31,286,190,413,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,7,14,,,310,10,177,5,,,,,,,30,30,31,434,26,22,29,156,17,12,23,0,3001:0,,45821,39723,51919,,55179,68843,59,,,,,,,,,,847,77,67,87,77,7,0,14,3001,26.6,18.2,39,1.3,26,0.9,9,0.3,0,0.0,1594,53.1,1338,44.6,238,8,4,12,50.0,3461,100.0
48415,Texas,Scurry,77.1,75.7,78.5,,79.9,76.0,231,427,371,483,,332,482,15,85,47,140,,,,,,,,,,,11,11,12,11,10,11,10,7,13,10,70,2010,12,1826,11,,,26,22,14,32,31,30,32,1898,21,19,24,483,10,7,13,41,2436:1,,51772,45278,58266,49844,55649,54381,50,35,19,,,,14,16,9,27,4327,74,72,76,334,6,3,9,17050,25.5,14.8,774,4.5,233,1.4,146,0.9,8,0.0,6919,40.6,9002,52.8,532,3,2,5,46.1,5364,31.7
48417,Texas,Shackelford,81.6,79.1,84.0,,,,34,261,176,373,,,,,,,,,,,,,,,,,,11,11,11,11,11,12,11,7,15,,,570,17,199,6,,,,,,,30,29,30,437,23,20,26,132,16,12,20,30,3328:1,,61155,52948,69362,,31071,51071,47,,,,,,,,,,992,79,76,82,135,12,4,19,3328,23.8,20.0,33,1.0,20,0.6,13,0.4,2,0.1,386,11.6,2845,85.5,50,2,0,4,51.9,3378,100.0
48419,Texas,Shelby,74.5,73.3,75.6,72.4,,73.4,448,515,466,564,688,,532,25,93,60,137,,,,20,7,5,12,,,,13,13,14,13,13,13,12,9,16,39,189,5480,21,1462,6,,,63,35,27,45,35,34,35,4381,30,27,33,1071,15,12,19,67,1501:1,,39745,35759,43731,21815,39814,42840,75,32,30,10,6,15,27,21,14,31,6580,71,68,75,858,10,7,13,25513,26.5,17.2,4509,17.7,255,1.0,334,1.3,19,0.1,4728,18.5,15598,61.1,1088,5,,,50.2,20214,79.4
48421,Texas,Sherman,78.0,74.4,81.7,,,,38,381,269,526,,,,,,,,,,,,,,,,,,11,10,11,10,10,11,10,7,14,,,310,10,177,6,,,,,,,31,30,32,545,31,28,34,187,21,15,26,33,3067:1,,49349,42967,55731,,40179,61985,60,,,,,,,,,,860,81,75,87,69,7,1,13,3067,28.2,15.2,35,1.1,36,1.2,25,0.8,0,0.0,1355,44.2,1634,53.3,291,10,6,14,48.3,3034,100.0
48423,Texas,Smith,78.2,77.8,78.6,73.9,90.4,78.2,2774,370,356,384,542,193,369,146,66,55,77,112,45,64,175,8,7,9,13,6,8,11,11,12,12,11,12,11,9,14,396,217,42160,19,13697,7,54,8,271,18,16,20,33,33,34,29511,23,21,25,5104,9,7,11,122,819:1,6,54044,49800,58288,32373,42806,59273,58,40,36,4,3,5,161,15,12,17,51275,66,65,67,9679,13,12,14,227727,24.6,16.2,39371,17.3,1909,0.8,3870,1.7,275,0.1,44741,19.6,135704,59.6,9617,5,4,5,51.7,66286,31.6
48425,Texas,Somervell,77.7,75.7,79.8,,80.4,77.5,114,349,281,416,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,11,7,15,,,1440,17,0,0,,,14,23,13,39,31,30,32,1068,21,18,24,280,13,10,17,90,1106:1,,62803,55137,70469,,39776,55019,44,,2,,,,,,,,2391,74,68,80,410,13,7,20,8845,22.6,18.7,98,1.1,128,1.4,96,1.1,4,0.0,1651,18.7,6828,77.2,74,1,,,50.9,8490,100.0
48427,Texas,Starr,79.3,78.6,80.1,,,,583,342,314,370,,,,31,37,25,52,,,,40,4,3,6,,,,19,19,20,15,15,16,9,6,12,32,67,7910,13,19971,33,,,54,12,9,16,35,34,37,13758,40,37,43,1991,9,7,12,50,2014:1,12,28377,25558,31196,,,,83,,26,4,2,7,29,9,6,13,12136,74,71,77,1655,11,9,13,64454,33.1,11.3,73,0.1,246,0.4,157,0.2,13,0.0,62084,96.3,2131,3.3,17214,30,,,51.3,14453,23.7
48429,Texas,Stephens,75.8,73.7,77.8,,86.5,73.8,167,483,406,561,,,,,,,,,,,,,,,,,,12,12,13,12,12,12,10,7,14,13,155,1670,17,1208,13,,,18,27,16,43,32,31,33,1332,27,24,31,276,13,9,16,64,1556:1,,41977,37213,46741,,46761,46602,64,34,22,,,,,,,,2653,79,77,81,289,9,5,13,9337,21.7,19.3,233,2.5,117,1.3,57,0.6,4,0.0,2238,24.0,6669,71.4,279,3,1,5,47.2,3791,39.4
48431,Texas,Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,12,12,13,10,7,14,,,150,12,540,47,,,,,,,33,32,34,159,21,18,24,63,16,11,20,154,648:1,,55690,48378,63002,,65000,47283,42,,,,,,,,,,393,85,75,95,18,4,0,18,1295,27.6,15.8,24,1.9,27,2.1,7,0.5,1,0.1,518,40.0,716,55.3,2,0,0,6,49.2,1143,100.0
48433,Texas,Stonewall,,,,,,,20,332,197,524,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,9,17,,,200,16,74,5,,,,,,,30,30,31,151,21,17,24,48,14,10,18,360,278:1,,43702,37863,49541,13056,45804,58235,54,,,,,,,,,,348,76,71,81,23,6,0,20,1388,22.1,26.1,45,3.2,23,1.7,22,1.6,0,0.0,256,18.4,1041,75.0,2,0,0,6,51.6,1490,100.0
48435,Texas,Sutton,81.6,78.6,84.7,,,,35,252,172,356,,,,,,,,,,,,,,,,,,10,10,11,10,10,10,10,7,14,,,380,10,146,4,,,,,,,30,29,31,537,24,21,27,127,13,9,16,106,942:1,,57986,51977,63995,,58859,65741,59,,,,,,,,,,1073,68,60,76,97,7,2,12,3767,24.4,17.7,21,0.6,41,1.1,22,0.6,2,0.1,2360,62.6,1363,36.2,219,6,3,9,49.3,776,18.8
48437,Texas,Swisher,77.1,75.0,79.3,,76.5,78.5,94,383,307,471,,369,357,,,,,,,,,,,,,,,13,13,14,12,12,12,10,7,14,5,81,1160,15,629,8,,,16,30,17,49,32,31,33,1048,29,25,33,229,12,9,15,40,2505:1,,41264,36579,45949,17125,36094,41908,72,25,22,,,,,,,,1814,70,66,73,317,13,7,18,7515,25.5,17.9,558,7.4,123,1.6,47,0.6,6,0.1,3313,44.1,3491,46.5,279,4,1,7,46.8,2951,37.6
48439,Texas,Tarrant,79.2,79.0,79.3,76.3,84.3,78.5,19579,325,320,329,447,226,343,1133,53,50,56,77,48,47,1339,7,6,7,11,6,5,11,10,11,11,10,11,10,9,12,4953,310,323840,17,145322,8,597,10,1349,10,9,10,35,34,35,258871,21,20,22,49533,9,8,10,70,1419:1,7,65021,63137,66905,46726,48905,75272,55,48,34,5,5,6,1077,11,10,12,418852,61,60,61,88706,13,13,14,2054475,26.6,11.0,334933,16.3,18163,0.9,116433,5.7,4971,0.2,593452,28.9,962516,46.8,116369,6,,,51.0,23304,1.3
48441,Texas,Taylor,76.0,75.5,76.5,71.3,77.6,75.9,1895,474,452,496,723,429,476,72,54,42,68,101,46,48,83,6,5,7,,6,5,12,12,12,12,11,12,9,7,12,224,201,23710,18,16206,12,54,13,156,17,14,19,31,31,32,15959,20,18,22,2895,8,6,10,120,831:1,6,50338,46235,54441,37947,39410,54244,58,35,26,5,3,6,101,15,12,18,29152,59,58,60,5829,12,11,14,136290,24.7,14.3,9959,7.3,1373,1.0,3120,2.3,182,0.1,33365,24.5,86504,63.5,2712,2,2,3,51.1,21085,16.0
48443,Texas,Terrell,,,,,,,22,869,515,1374,,,,,,,,,,,,,,,,,,14,13,14,12,12,13,12,8,15,,,80,10,378,38,,,,,,,31,30,32,104,24,20,27,27,16,11,21,123,810:1,,39033,33881,44185,,23304,42500,48,,,,,,,,,,263,77,64,89,29,10,0,31,810,21.9,28.1,9,1.1,29,3.6,4,0.5,0,0.0,427,52.7,346,42.7,20,3,0,11,50.1,984,100.0
48445,Texas,Terry,75.2,73.7,76.8,,76.3,73.7,199,503,432,575,,446,549,10,72,35,132,,,,,,,,,,,13,13,14,12,12,12,10,7,13,10,98,1340,11,2303,18,,,15,17,9,28,33,32,34,1929,30,27,34,479,13,10,17,47,2119:1,,40899,35729,46069,23931,36209,59209,76,22,11,,,,10,16,8,29,2894,70,64,76,307,8,4,12,12715,27.3,14.7,545,4.3,148,1.2,83,0.7,9,0.1,7002,55.1,4992,39.3,698,6,4,8,46.8,3121,24.7
48447,Texas,Throckmorton,,,,,,,26,430,270,651,,,,,,,,,,,,,,,,,,10,10,11,11,11,11,12,8,16,,,240,16,529,32,,,,,,,29,28,29,186,23,19,26,55,16,11,21,65,1527:1,,38162,34770,41554,,55833,36696,62,,,,,,,,,,520,73,68,78,49,7,0,16,1527,20.9,27.3,15,1.0,18,1.2,7,0.5,0,0.0,220,14.4,1259,82.4,10,1,0,5,52.3,1641,100.0
48449,Texas,Titus,77.2,76.2,78.1,71.1,95.8,75.9,389,386,347,425,726,165,442,11,29,15,52,,,,,,,,,,,13,13,13,12,12,13,11,8,14,30,117,5180,16,2087,6,,,49,21,16,28,33,32,34,5605,31,27,34,1201,12,9,16,67,1496:1,8,47097,42519,51675,25482,42560,55429,76,33,16,5,3,9,19,12,7,18,7163,67,64,70,1006,10,7,12,32904,28.9,14.1,3021,9.2,789,2.4,383,1.2,58,0.2,14242,43.3,14854,45.1,3109,10,9,12,50.9,16347,50.6
48451,Texas,Tom Green,78.3,77.7,78.8,77.6,80.7,77.4,1407,380,359,400,459,362,398,61,55,42,70,,49,60,50,5,3,6,,5,5,11,11,12,11,11,11,11,8,14,93,96,15900,14,18301,17,40,11,122,15,12,18,33,32,34,14007,20,18,23,2770,10,7,12,89,1124:1,4,49462,44697,54227,36078,42484,55878,53,48,25,4,3,6,71,12,10,15,27169,63,62,65,4835,12,10,13,118019,23.7,15.2,4294,3.6,1308,1.1,1633,1.4,179,0.2,47173,40.0,62842,53.2,2725,3,2,3,50.3,17240,15.6
48453,Texas,Travis,81.8,81.6,81.9,77.1,83.4,81.6,8250,243,238,248,407,227,243,442,41,37,45,66,42,36,476,4,4,5,9,4,4,10,9,10,10,10,10,7,6,8,4468,458,174100,15,73665,7,430,12,780,10,9,10,29,28,29,140495,18,16,19,24916,9,7,10,84,1189:1,6,72785,70526,75044,47220,49804,81697,49,46,34,3,3,3,470,8,7,9,234225,52,52,53,69603,16,15,16,1226698,22.1,9.6,98262,8.0,15249,1.2,86540,7.1,1441,0.1,416156,33.9,601411,49.0,76534,7,7,7,49.5,55961,5.5
